program; n; t,ms
lab1-seq2 ; 1 ; 1
lab1-seq2 ; 6 ; 1
lab1-seq2 ; 11 ; 1
lab1-seq2 ; 16 ; 2
lab1-seq2 ; 21 ; 2
lab1-seq2 ; 26 ; 2
lab1-seq2 ; 31 ; 3
lab1-seq2 ; 36 ; 3
lab1-seq2 ; 41 ; 4
lab1-seq2 ; 46 ; 5
lab1-seq2 ; 51 ; 5
lab1-seq2 ; 56 ; 6
lab1-seq2 ; 61 ; 7
lab1-seq2 ; 66 ; 8
lab1-seq2 ; 71 ; 9
lab1-seq2 ; 76 ; 11
lab1-seq2 ; 81 ; 12
lab1-seq2 ; 86 ; 14
lab1-seq2 ; 91 ; 15
lab1-seq2 ; 96 ; 18
lab1-seq2 ; 101 ; 20
lab1-seq2 ; 106 ; 22
lab1-seq2 ; 111 ; 24
lab1-seq2 ; 116 ; 27
lab1-seq2 ; 121 ; 35
lab1-seq2 ; 126 ; 33
lab1-seq2 ; 131 ; 35
lab1-seq2 ; 136 ; 38
lab1-seq2 ; 141 ; 40
lab1-seq2 ; 146 ; 46
lab1-seq2 ; 151 ; 49
lab1-seq2 ; 156 ; 55
lab1-seq2 ; 161 ; 59
lab1-seq2 ; 166 ; 68
lab1-seq2 ; 171 ; 67
lab1-seq2 ; 176 ; 75
lab1-seq2 ; 181 ; 80
lab1-seq2 ; 186 ; 84
lab1-seq2 ; 191 ; 88
lab1-seq2 ; 196 ; 98
lab1-seq2 ; 201 ; 104
lab1-seq2 ; 206 ; 109
