file; n; t,ms
lab4_1 ; 90 ; 0 ; 1
lab4_1 ; 258 ; 0 ; 1
lab4_1 ; 426 ; 0 ; 1
lab4_1 ; 594 ; 0 ; 1
lab4_1 ; 762 ; 0 ; 1
lab4_1 ; 930 ; 0 ; 1
lab4_1 ; 1098 ; 1 ; 1
lab4_1 ; 1266 ; 2 ; 1
lab4_1 ; 1434 ; 3 ; 1
lab4_1 ; 1602 ; 4 ; 1
lab4_1 ; 1770 ; 5 ; 1
lab4_1 ; 1770 ; 5 ; 1
lab4_1 ; 90 ; 0 ; 2
lab4_1 ; 258 ; 0 ; 2
lab4_1 ; 426 ; 0 ; 2
lab4_1 ; 594 ; 0 ; 2
lab4_1 ; 762 ; 0 ; 2
lab4_1 ; 930 ; 0 ; 2
lab4_1 ; 1098 ; 1 ; 2
lab4_1 ; 1266 ; 2 ; 2
lab4_1 ; 1434 ; 3 ; 2
lab4_1 ; 1602 ; 4 ; 2
lab4_1 ; 1770 ; 5 ; 2
lab4_1 ; 1770 ; 5 ; 2
lab4_1 ; 90 ; 0 ; 4
lab4_1 ; 258 ; 0 ; 4
lab4_1 ; 426 ; 0 ; 4
lab4_1 ; 594 ; 0 ; 4
lab4_1 ; 762 ; 0 ; 4
lab4_1 ; 930 ; 0 ; 4
lab4_1 ; 1098 ; 1 ; 4
lab4_1 ; 1266 ; 2 ; 4
lab4_1 ; 1434 ; 3 ; 4
lab4_1 ; 1602 ; 4 ; 4
lab4_1 ; 1770 ; 7 ; 4
lab4_1 ; 1770 ; 6 ; 4
lab4_1 ; 90 ; 1 ; 6
lab4_1 ; 258 ; 1 ; 6
lab4_1 ; 426 ; 1 ; 6
lab4_1 ; 594 ; 1 ; 6
lab4_1 ; 762 ; 1 ; 6
lab4_1 ; 930 ; 2 ; 6
lab4_1 ; 1098 ; 2 ; 6
lab4_1 ; 1266 ; 3 ; 6
lab4_1 ; 1434 ; 4 ; 6
lab4_1 ; 1602 ; 5 ; 6
lab4_1 ; 1770 ; 7 ; 6
lab4_1 ; 1770 ; 7 ; 6
lab4_1 ; 90 ; 1 ; 8
lab4_1 ; 258 ; 1 ; 8
lab4_1 ; 426 ; 1 ; 8
lab4_1 ; 594 ; 1 ; 8
lab4_1 ; 762 ; 2 ; 8
lab4_1 ; 930 ; 2 ; 8
lab4_1 ; 1098 ; 3 ; 8
lab4_1 ; 1266 ; 3 ; 8
lab4_1 ; 1434 ; 4 ; 8
lab4_1 ; 1602 ; 6 ; 8
lab4_1 ; 1770 ; 7 ; 8
lab4_1 ; 1770 ; 7 ; 8
