file; n; t,ms
lab4_k ; 90 ; 1 ; 1
lab4_k ; 258 ; 1 ; 1
lab4_k ; 426 ; 3 ; 1
lab4_k ; 594 ; 7 ; 1
lab4_k ; 762 ; 12 ; 1
lab4_k ; 930 ; 19 ; 1
lab4_k ; 1098 ; 27 ; 1
lab4_k ; 1266 ; 38 ; 1
lab4_k ; 1434 ; 51 ; 1
lab4_k ; 1602 ; 69 ; 1
lab4_k ; 1770 ; 89 ; 1
lab4_k ; 1770 ; 91 ; 1
lab4_k ; 90 ; 1 ; 2
lab4_k ; 258 ; 2 ; 2
lab4_k ; 426 ; 3 ; 2
lab4_k ; 594 ; 6 ; 2
lab4_k ; 762 ; 9 ; 2
lab4_k ; 930 ; 15 ; 2
lab4_k ; 1098 ; 20 ; 2
lab4_k ; 1266 ; 28 ; 2
lab4_k ; 1434 ; 38 ; 2
lab4_k ; 1602 ; 50 ; 2
lab4_k ; 1770 ; 66 ; 2
lab4_k ; 1770 ; 64 ; 2
lab4_k ; 90 ; 2 ; 4
lab4_k ; 258 ; 3 ; 4
lab4_k ; 426 ; 4 ; 4
lab4_k ; 594 ; 8 ; 4
lab4_k ; 762 ; 11 ; 4
lab4_k ; 930 ; 16 ; 4
lab4_k ; 1098 ; 22 ; 4
lab4_k ; 1266 ; 30 ; 4
lab4_k ; 1434 ; 50 ; 4
lab4_k ; 1602 ; 128 ; 4
lab4_k ; 1770 ; 65 ; 4
lab4_k ; 1770 ; 66 ; 4
lab4_k ; 90 ; 136 ; 6
lab4_k ; 258 ; 139 ; 6
lab4_k ; 426 ; 143 ; 6
lab4_k ; 594 ; 134 ; 6
lab4_k ; 762 ; 136 ; 6
lab4_k ; 930 ; 146 ; 6
lab4_k ; 1098 ; 146 ; 6
lab4_k ; 1266 ; 151 ; 6
lab4_k ; 1434 ; 158 ; 6
lab4_k ; 1602 ; 168 ; 6
lab4_k ; 1770 ; 176 ; 6
lab4_k ; 1770 ; 178 ; 6
lab4_k ; 90 ; 172 ; 8
lab4_k ; 258 ; 174 ; 8
lab4_k ; 426 ; 174 ; 8
lab4_k ; 594 ; 174 ; 8
lab4_k ; 762 ; 179 ; 8
lab4_k ; 930 ; 180 ; 8
lab4_k ; 1098 ; 183 ; 8
lab4_k ; 1266 ; 197 ; 8
lab4_k ; 1434 ; 201 ; 8
lab4_k ; 1602 ; 205 ; 8
lab4_k ; 1770 ; 217 ; 8
lab4_k ; 1770 ; 213 ; 8
