program; n; t,ms
lab4 ; 1 ; 9
lab4 ; 6 ; 25
lab4 ; 11 ; 14
lab4 ; 16 ; 8
lab4 ; 21 ; 12
lab4 ; 26 ; 12
lab4 ; 31 ; 12
lab4 ; 36 ; 16
lab4 ; 41 ; 13
lab4 ; 46 ; 16
lab4 ; 51 ; 13
lab4 ; 56 ; 12
lab4 ; 61 ; 16
lab4 ; 66 ; 17
lab4 ; 71 ; 10
lab4 ; 76 ; 22
lab4 ; 81 ; 17
lab4 ; 86 ; 15
lab4 ; 91 ; 16
lab4 ; 96 ; 16
lab4 ; 101 ; 13
lab4 ; 106 ; 19
lab4 ; 111 ; 20
lab4 ; 116 ; 21
lab4 ; 121 ; 19
lab4 ; 126 ; 21
lab4 ; 131 ; 23
lab4 ; 136 ; 23
lab4 ; 141 ; 21
lab4 ; 146 ; 18
lab4 ; 151 ; 22
lab4 ; 156 ; 24
lab4 ; 161 ; 18
lab4 ; 166 ; 27
lab4 ; 171 ; 26
lab4 ; 176 ; 28
lab4 ; 181 ; 30
lab4 ; 186 ; 28
lab4 ; 191 ; 34
lab4 ; 196 ; 31
lab4 ; 201 ; 39
lab4 ; 206 ; 33
